epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,526.021,0.81974,1.49681,3.45072,1.14687,0,0.55793,0.08816,0.07276,0.05984,0.54465,0.09247,0.07649,0.05761,0.8804,1.75298,3.77455,1.25657,0,4.51236e-05,4.51236e-05,4.51236e-05
28,545.952,0.82749,1.45826,3.43993,1.14345,0,0.52054,0.09264,0.0787,0.06481,0.50767,0.09802,0.08203,0.06202,0.87884,1.76741,3.71953,1.25186,0,4.32822e-05,4.32822e-05,4.32822e-05
29,565.673,0.8436,1.50883,3.41159,1.16002,0,0.48406,0.09374,0.07416,0.06047,0.45812,0.09626,0.07737,0.05828,0.89237,1.8143,3.72975,1.26691,0,4.14408e-05,4.14408e-05,4.14408e-05
30,584.987,0.81615,1.45591,3.39693,1.14698,0,0.43571,0.10124,0.08133,0.0665,0.43966,0.10985,0.08512,0.06395,0.87546,1.71865,3.65305,1.24269,0,3.95994e-05,3.95994e-05,3.95994e-05
31,604.436,0.83051,1.5202,3.3184,1.14917,0,0.46195,0.09711,0.08201,0.06672,0.46713,0.10061,0.08785,0.06426,0.87719,1.72792,3.65381,1.2474,0,3.7758e-05,3.7758e-05,3.7758e-05
32,624.688,0.80751,1.45856,3.32209,1.13993,0,0.46252,0.09695,0.08187,0.06626,0.46706,0.10204,0.08561,0.06295,0.88141,1.74783,3.66848,1.25438,0,3.59166e-05,3.59166e-05,3.59166e-05
33,644.334,0.8325,1.5036,3.32414,1.15398,0,0.39218,0.10506,0.08727,0.07124,0.40922,0.11074,0.09366,0.06797,0.87347,1.73521,3.61846,1.24683,0,3.40752e-05,3.40752e-05,3.40752e-05
34,663.888,0.8168,1.48107,3.28636,1.14911,0,0.40586,0.11085,0.08861,0.07202,0.42263,0.11361,0.09504,0.06866,0.8743,1.73428,3.60035,1.24763,0,3.22338e-05,3.22338e-05,3.22338e-05
35,683.693,0.8328,1.48455,3.28719,1.15856,0,0.39506,0.10921,0.09014,0.07284,0.39902,0.11818,0.09517,0.06962,0.87855,1.74842,3.59078,1.24999,0,3.03924e-05,3.03924e-05,3.03924e-05
36,703.229,0.80553,1.45152,3.26288,1.13459,0,0.3879,0.10639,0.09071,0.07382,0.39215,0.11486,0.09444,0.07019,0.87813,1.74436,3.61358,1.25376,0,2.8551e-05,2.8551e-05,2.8551e-05
37,722.995,0.80891,1.4504,3.21378,1.13224,0,0.39807,0.11785,0.09447,0.07641,0.40236,0.12345,0.10046,0.07344,0.88317,1.7187,3.56611,1.24986,0,2.67096e-05,2.67096e-05,2.67096e-05
38,742.046,0.80172,1.43624,3.23793,1.12958,0,0.40343,0.12349,0.0965,0.07753,0.41962,0.1297,0.10258,0.07394,0.88397,1.73354,3.55893,1.25269,0,2.48682e-05,2.48682e-05,2.48682e-05
39,761.962,0.8045,1.4413,3.2214,1.12856,0,0.39751,0.12106,0.09516,0.0773,0.41464,0.12342,0.10063,0.07277,0.88451,1.75539,3.56754,1.26199,0,2.30268e-05,2.30268e-05,2.30268e-05
40,782.754,0.78266,1.4341,3.18057,1.12428,0,0.40762,0.12643,0.09849,0.08088,0.42401,0.12926,0.10383,0.07647,0.88793,1.75022,3.55409,1.26381,0,2.11854e-05,2.11854e-05,2.11854e-05
41,801.81,0.81221,1.5315,3.30643,1.18197,0,0.37874,0.12484,0.10016,0.07957,0.38246,0.13213,0.10498,0.07403,0.89954,1.80879,3.40715,1.26432,0,1.9344e-05,1.9344e-05,1.9344e-05
42,817.885,0.75146,1.41352,3.13859,1.15286,0,0.37071,0.13436,0.09975,0.07726,0.37283,0.14148,0.10245,0.0724,0.89873,1.82703,3.38041,1.27123,0,1.75026e-05,1.75026e-05,1.75026e-05
43,833.906,0.74187,1.39218,3.08111,1.1343,0,0.43664,0.1165,0.10263,0.07992,0.45139,0.1235,0.10358,0.07355,0.88235,1.78158,3.34816,1.25677,0,1.56612e-05,1.56612e-05,1.56612e-05
44,849.964,0.74101,1.40094,3.07776,1.13567,0,0.44193,0.12852,0.10269,0.0809,0.44475,0.13521,0.10815,0.0769,0.87182,1.74973,3.29944,1.24673,0,1.38198e-05,1.38198e-05,1.38198e-05
45,867.176,0.71107,1.34191,3.03298,1.1081,0,0.43254,0.12821,0.10349,0.08173,0.4355,0.13496,0.10871,0.0769,0.87056,1.75118,3.2928,1.2461,0,1.19784e-05,1.19784e-05,1.19784e-05
46,883.402,0.72017,1.32847,3.03755,1.11883,0,0.45509,0.12673,0.10364,0.08189,0.45755,0.13271,0.10878,0.07793,0.87114,1.75074,3.29178,1.24837,0,1.0137e-05,1.0137e-05,1.0137e-05
47,899.553,0.70844,1.3362,3.01227,1.10564,0,0.44233,0.13343,0.1048,0.08243,0.44474,0.13914,0.11058,0.07866,0.86792,1.74252,3.28646,1.24284,0,8.2956e-06,8.2956e-06,8.2956e-06
48,915.677,0.7011,1.3268,2.99288,1.10243,0,0.41865,0.13353,0.10783,0.08574,0.42096,0.13891,0.11379,0.08203,0.86674,1.73625,3.2835,1.24236,0,6.4542e-06,6.4542e-06,6.4542e-06
49,932.543,0.70246,1.31916,2.98691,1.10876,0,0.41975,0.13594,0.10512,0.08368,0.42311,0.1418,0.11011,0.07987,0.86585,1.73718,3.28104,1.24213,0,4.6128e-06,4.6128e-06,4.6128e-06
50,948.833,0.7012,1.32714,2.99192,1.10533,0,0.42876,0.13337,0.10653,0.0848,0.4306,0.1367,0.11182,0.08109,0.86394,1.73074,3.2707,1.24134,0,2.7714e-06,2.7714e-06,2.7714e-06
