epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,756.519,0.85866,1.61294,3.04461,1.16639,0,0.63441,0.12232,0.10497,0.08651,0.59422,0.13049,0.10598,0.0834,0.89899,1.79992,3.26874,1.22236,0,4.51236e-05,4.51236e-05,4.51236e-05
28,785.04,0.84103,1.55063,3.00768,1.15378,0,0.6005,0.13187,0.10575,0.08737,0.60306,0.13204,0.10585,0.08336,0.89621,1.80749,3.28734,1.21886,0,4.32822e-05,4.32822e-05,4.32822e-05
29,813.226,0.82385,1.51837,2.99125,1.14215,0,0.58484,0.12989,0.1043,0.08559,0.58211,0.13048,0.10501,0.08214,0.89474,1.80126,3.24648,1.21771,0,4.14408e-05,4.14408e-05,4.14408e-05
30,841.591,0.84211,1.54823,3.00228,1.15876,0,0.55692,0.13492,0.1066,0.08757,0.57452,0.13558,0.10849,0.08449,0.89546,1.79598,3.22423,1.22076,0,3.95994e-05,3.95994e-05,3.95994e-05
31,870.331,0.82736,1.53851,2.93067,1.13769,0,0.58929,0.13079,0.10771,0.08823,0.59053,0.13271,0.10872,0.08539,0.89912,1.8018,3.24178,1.2216,0,3.7758e-05,3.7758e-05,3.7758e-05
32,898.152,0.82308,1.53965,2.89516,1.13126,0,0.59822,0.13046,0.10726,0.08879,0.5998,0.13518,0.1093,0.08539,0.89597,1.80731,3.23076,1.22233,0,3.59166e-05,3.59166e-05,3.59166e-05
33,926.597,0.82644,1.53617,2.92628,1.14068,0,0.6124,0.12872,0.11335,0.09378,0.61572,0.12933,0.11436,0.08995,0.89353,1.83059,3.206,1.22367,0,3.40752e-05,3.40752e-05,3.40752e-05
34,954.374,0.82294,1.50317,2.87017,1.13899,0,0.59762,0.13608,0.11196,0.09149,0.58849,0.13852,0.11332,0.08882,0.90171,1.79684,3.22566,1.22739,0,3.22338e-05,3.22338e-05,3.22338e-05
35,983.17,0.81516,1.52016,2.88695,1.13244,0,0.60493,0.14489,0.11835,0.09799,0.61041,0.14483,0.12017,0.0947,0.89004,1.76731,3.13433,1.21656,0,3.03924e-05,3.03924e-05,3.03924e-05
36,1011.85,0.80891,1.49146,2.83525,1.13721,0,0.57419,0.14453,0.11403,0.09392,0.60022,0.14243,0.11554,0.0908,0.88697,1.78081,3.14608,1.21425,0,2.8551e-05,2.8551e-05,2.8551e-05
37,1040.79,0.82819,1.56627,2.86079,1.14392,0,0.54539,0.14811,0.1153,0.09464,0.54595,0.14828,0.11684,0.09177,0.88282,1.78703,3.1496,1.2123,0,2.67096e-05,2.67096e-05,2.67096e-05
38,1069.79,0.81073,1.54359,2.82678,1.13267,0,0.58262,0.14352,0.11324,0.09343,0.59799,0.14313,0.11503,0.08996,0.88041,1.79417,3.16946,1.21164,0,2.48682e-05,2.48682e-05,2.48682e-05
39,1098.29,0.81527,1.5098,2.82298,1.12909,0,0.59903,0.14381,0.11761,0.09582,0.60276,0.14235,0.11851,0.09211,0.87927,1.77677,3.11975,1.20497,0,2.30268e-05,2.30268e-05,2.30268e-05
40,1126.42,0.80466,1.51169,2.82504,1.12399,0,0.63252,0.13936,0.12031,0.09812,0.63292,0.13777,0.12057,0.09476,0.88612,1.79773,3.12873,1.21353,0,2.11854e-05,2.11854e-05,2.11854e-05
41,1151.48,0.79027,1.53483,2.88134,1.15982,0,0.53692,0.14356,0.11447,0.09023,0.65088,0.12107,0.11584,0.08791,0.89525,1.8961,3.03698,1.22127,0,1.9344e-05,1.9344e-05,1.9344e-05
42,1174.23,0.75756,1.47096,2.75832,1.13602,0,0.59941,0.14384,0.11739,0.09305,0.59992,0.14299,0.11796,0.09023,0.86954,1.85401,2.9844,1.20045,0,1.75026e-05,1.75026e-05,1.75026e-05
43,1196.5,0.72718,1.40972,2.71317,1.1129,0,0.59828,0.14713,0.11983,0.09685,0.5998,0.14737,0.12123,0.09427,0.85685,1.84416,2.95637,1.18938,0,1.56612e-05,1.56612e-05,1.56612e-05
44,1219.1,0.7276,1.44845,2.71214,1.11756,0,0.58842,0.15787,0.12404,0.10001,0.589,0.15846,0.12367,0.09691,0.85337,1.82414,2.93413,1.18535,0,1.38198e-05,1.38198e-05,1.38198e-05
45,1241.37,0.72026,1.38821,2.6741,1.11249,0,0.58778,0.15896,0.12454,0.10042,0.58906,0.15924,0.12418,0.0971,0.85201,1.82935,2.93332,1.18361,0,1.19784e-05,1.19784e-05,1.19784e-05
46,1263.79,0.71895,1.38375,2.65126,1.10491,0,0.57659,0.1507,0.1254,0.10041,0.57785,0.15186,0.12541,0.0971,0.85308,1.81337,2.92584,1.18464,0,1.0137e-05,1.0137e-05,1.0137e-05
47,1285.99,0.72343,1.40544,2.65534,1.10164,0,0.59445,0.15504,0.1276,0.10279,0.59526,0.15585,0.12735,0.0998,0.85125,1.8234,2.91807,1.18435,0,8.2956e-06,8.2956e-06,8.2956e-06
48,1308.51,0.70457,1.38357,2.66443,1.10405,0,0.63679,0.15604,0.1293,0.10462,0.63696,0.15622,0.1288,0.10121,0.85416,1.82115,2.92421,1.18484,0,6.4542e-06,6.4542e-06,6.4542e-06
49,1331.53,0.72236,1.39373,2.6707,1.10796,0,0.60817,0.15666,0.12979,0.10411,0.60877,0.15638,0.12904,0.10133,0.85665,1.81794,2.9208,1.1872,0,4.6128e-06,4.6128e-06,4.6128e-06
50,1354.05,0.7173,1.40969,2.63649,1.09709,0,0.62519,0.15382,0.12937,0.10427,0.62472,0.15416,0.12893,0.10139,0.85465,1.82151,2.92323,1.18687,0,2.7714e-06,2.7714e-06,2.7714e-06
