epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,1330.95,0.57342,1.11486,1.13691,1.00152,0,0.38325,0.27824,0.24434,0.19034,0.38258,0.27961,0.24691,0.18143,0.80901,1.77486,2.31446,1.24153,0,7.70412e-05,7.70412e-05,7.70412e-05
28,1379.39,0.55609,1.05687,1.08742,0.99853,0,0.38838,0.25747,0.23794,0.18911,0.40272,0.25576,0.23925,0.18137,0.82298,1.79592,2.32826,1.24783,0,7.64274e-05,7.64274e-05,7.64274e-05
29,1427.96,0.56973,1.0854,1.07467,1.00679,0,0.34727,0.28425,0.24333,0.19318,0.34894,0.28435,0.2437,0.18222,0.82885,1.77738,2.30322,1.26475,0,7.58136e-05,7.58136e-05,7.58136e-05
30,1476.39,0.55084,1.06391,1.05701,0.99572,0,0.37157,0.26665,0.23997,0.19179,0.3776,0.27459,0.24629,0.18309,0.83364,1.84951,2.35203,1.27487,0,7.51998e-05,7.51998e-05,7.51998e-05
31,1524.94,0.5429,1.02523,1.02642,0.99219,0,0.39956,0.25922,0.23682,0.18627,0.39828,0.25977,0.23757,0.17913,0.84592,1.81838,2.30834,1.26813,0,7.4586e-05,7.4586e-05,7.4586e-05
32,1573.46,0.54551,1.0288,0.98549,0.98891,0,0.42144,0.26463,0.2355,0.18681,0.42339,0.26587,0.23849,0.17899,0.82457,1.78278,2.36733,1.2541,0,7.39722e-05,7.39722e-05,7.39722e-05
33,1621.96,0.5411,1.03725,0.97944,0.99065,0,0.38954,0.25931,0.23763,0.18744,0.41788,0.24488,0.24018,0.18011,0.82362,1.80064,2.35224,1.25926,0,7.33584e-05,7.33584e-05,7.33584e-05
34,1670.55,0.54366,1.03534,0.98109,0.9885,0,0.37612,0.27075,0.23548,0.18454,0.37279,0.27276,0.23714,0.17763,0.82254,1.84599,2.35647,1.25583,0,7.27446e-05,7.27446e-05,7.27446e-05
35,1719.18,0.54104,1.0228,0.96761,0.9897,0,0.42528,0.25377,0.23473,0.18396,0.428,0.25566,0.23808,0.17708,0.81949,1.81729,2.33668,1.25237,0,7.21308e-05,7.21308e-05,7.21308e-05
36,1767.63,0.54028,1.03459,0.94875,0.98871,0,0.41765,0.26281,0.23363,0.18723,0.41554,0.26775,0.2347,0.17985,0.81419,1.77601,2.41078,1.24452,0,7.1517e-05,7.1517e-05,7.1517e-05
37,1815.97,0.53399,1.0106,0.92398,0.98354,0,0.40684,0.26412,0.2503,0.19791,0.40682,0.26087,0.24818,0.18626,0.82921,1.8526,2.30198,1.26255,0,7.09032e-05,7.09032e-05,7.09032e-05
38,1864.43,0.528,1.00132,0.89705,0.97759,0,0.38483,0.26463,0.2371,0.18889,0.38571,0.26631,0.23926,0.17922,0.82884,1.83213,2.37178,1.26657,0,7.02894e-05,7.02894e-05,7.02894e-05
39,1912.96,0.51914,0.97402,0.89019,0.97479,0,0.36482,0.28072,0.24175,0.19238,0.37251,0.29281,0.25071,0.18406,0.83072,1.85938,2.39648,1.26882,0,6.96756e-05,6.96756e-05,6.96756e-05
40,1961.37,0.52162,0.98466,0.86692,0.97413,0,0.42037,0.26149,0.24946,0.19844,0.42025,0.26105,0.25076,0.19095,0.81716,1.79244,2.37503,1.24072,0,6.90618e-05,6.90618e-05,6.90618e-05
41,2010.43,0.52066,0.98374,0.87895,0.97567,0,0.37794,0.25845,0.24271,0.1936,0.40878,0.246,0.2483,0.18669,0.82304,1.8578,2.41364,1.25172,0,6.8448e-05,6.8448e-05,6.8448e-05
42,2058.84,0.51227,0.96784,0.84448,0.96848,0,0.50816,0.22947,0.23324,0.18687,0.52482,0.23053,0.23552,0.17785,0.836,1.91467,2.45981,1.28267,0,6.78342e-05,6.78342e-05,6.78342e-05
43,2107.35,0.51537,0.9852,0.84524,0.96846,0,0.35531,0.2836,0.24962,0.19875,0.35843,0.28561,0.2537,0.19207,0.81472,1.80811,2.33192,1.25318,0,6.72204e-05,6.72204e-05,6.72204e-05
44,2155.73,0.52,0.98427,0.84364,0.9768,0,0.46481,0.26144,0.24933,0.19915,0.46597,0.25999,0.24922,0.19218,0.81787,1.83165,2.33754,1.24934,0,6.66066e-05,6.66066e-05,6.66066e-05
45,2204.1,0.50921,0.9668,0.81385,0.96856,0,0.33632,0.27333,0.23989,0.19171,0.35779,0.25999,0.24636,0.18371,0.82196,1.84759,2.3874,1.27074,0,6.59928e-05,6.59928e-05,6.59928e-05
46,2252.52,0.50713,0.96828,0.8174,0.96741,0,0.43369,0.2716,0.25292,0.20104,0.43522,0.27441,0.25542,0.19351,0.83055,1.83121,2.35393,1.26845,0,6.5379e-05,6.5379e-05,6.5379e-05
47,2300.98,0.50313,0.95931,0.80554,0.96615,0,0.38507,0.27041,0.24546,0.19629,0.38788,0.27305,0.24946,0.18913,0.83027,1.89366,2.44963,1.27598,0,6.47652e-05,6.47652e-05,6.47652e-05
48,2349.37,0.50016,0.95023,0.79305,0.95679,0,0.43347,0.26009,0.24641,0.19583,0.43541,0.2604,0.24824,0.18683,0.83709,1.93575,2.46133,1.29269,0,6.41514e-05,6.41514e-05,6.41514e-05
49,2397.85,0.49976,0.94378,0.77264,0.95819,0,0.45552,0.24802,0.23299,0.18385,0.4556,0.24795,0.23546,0.17875,0.83312,1.79523,2.37696,1.26997,0,6.35376e-05,6.35376e-05,6.35376e-05
50,2446.11,0.5026,0.9572,0.7818,0.96249,0,0.39378,0.26591,0.24041,0.19141,0.39432,0.26732,0.24283,0.1839,0.83698,1.92475,2.4562,1.27924,0,6.29238e-05,6.29238e-05,6.29238e-05
51,2494.54,0.49956,0.94112,0.7696,0.9586,0,0.38621,0.25539,0.24381,0.19346,0.3861,0.25778,0.24517,0.18579,0.82227,1.8646,2.3562,1.2593,0,6.231e-05,6.231e-05,6.231e-05
52,2543.12,0.49692,0.92849,0.7448,0.96164,0,0.49743,0.21897,0.24945,0.19719,0.49704,0.21955,0.2453,0.1865,0.83326,1.88025,2.41103,1.2727,0,6.16962e-05,6.16962e-05,6.16962e-05
53,2591.65,0.49368,0.94216,0.75624,0.95727,0,0.45567,0.24014,0.24706,0.19546,0.44279,0.24081,0.24329,0.1861,0.83939,1.84893,2.37768,1.27194,0,6.10824e-05,6.10824e-05,6.10824e-05
54,2640.3,0.49669,0.9419,0.74256,0.95455,0,0.38514,0.27266,0.24295,0.19518,0.38621,0.27453,0.24356,0.18727,0.8246,1.86244,2.41542,1.26485,0,6.04686e-05,6.04686e-05,6.04686e-05
55,2688.74,0.49138,0.90738,0.72083,0.95455,0,0.46449,0.24032,0.24326,0.19322,0.47016,0.24304,0.24309,0.18473,0.8308,1.86425,2.41266,1.26951,0,5.98548e-05,5.98548e-05,5.98548e-05
56,2737.04,0.48728,0.90189,0.73217,0.95834,0,0.35973,0.28443,0.25334,0.20219,0.35946,0.285,0.25654,0.19543,0.84235,1.92522,2.4222,1.28437,0,5.9241e-05,5.9241e-05,5.9241e-05
57,2785.62,0.48245,0.90673,0.71232,0.94783,0,0.3645,0.27296,0.24719,0.1997,0.36432,0.27484,0.25056,0.19044,0.82308,1.88412,2.34036,1.27173,0,5.86272e-05,5.86272e-05,5.86272e-05
58,2834.03,0.48306,0.8884,0.6898,0.94984,0,0.39572,0.25971,0.2468,0.19915,0.39807,0.26217,0.24935,0.19102,0.82616,1.87502,2.37817,1.27608,0,5.80134e-05,5.80134e-05,5.80134e-05
