epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,24656.8,0.49564,0.91127,0.64468,0.95857,0,0.50192,0.35255,0.35018,0.2908,0.50289,0.3537,0.34926,0.27697,0.69966,1.50697,1.70318,1.15186,0,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,24903,0.49308,0.90413,0.64154,0.95702,0,0.48171,0.36164,0.35062,0.29116,0.49876,0.35993,0.3507,0.27815,0.6984,1.52017,1.69483,1.14985,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,25149.4,0.488,0.88937,0.62924,0.95189,0,0.48737,0.34635,0.35211,0.29199,0.48826,0.34946,0.35295,0.28032,0.69612,1.53616,1.70127,1.14766,0,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,25395.8,0.49576,0.91048,0.63705,0.95638,0,0.50458,0.35348,0.3536,0.29387,0.49695,0.35841,0.35345,0.28083,0.69599,1.53208,1.70073,1.14861,0,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,25643.9,0.48737,0.89317,0.61685,0.95087,0,0.49914,0.35635,0.34943,0.28971,0.50134,0.35545,0.34929,0.27635,0.69868,1.534,1.69967,1.15183,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,25890.8,0.48863,0.89801,0.62273,0.95351,0,0.47832,0.36271,0.34919,0.29057,0.48071,0.36115,0.34952,0.27661,0.7023,1.5483,1.70965,1.15823,0,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,26137.3,0.48766,0.89621,0.61752,0.95181,0,0.49966,0.34579,0.34925,0.29114,0.49986,0.34722,0.34953,0.27723,0.7038,1.55309,1.71632,1.16002,0,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,26384,0.48369,0.88815,0.61969,0.94989,0,0.49408,0.34761,0.35026,0.29098,0.49449,0.3489,0.35146,0.27736,0.70207,1.55149,1.71491,1.16004,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,26631.1,0.47861,0.8789,0.59686,0.94705,0,0.52898,0.33283,0.34956,0.29238,0.53329,0.33413,0.35211,0.27914,0.70132,1.54503,1.71232,1.15977,0,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,26877.9,0.48298,0.89263,0.60477,0.94852,0,0.49261,0.3515,0.34515,0.2881,0.49746,0.35099,0.34857,0.27512,0.70627,1.55081,1.72344,1.16474,0,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,27125.1,0.47679,0.8754,0.59386,0.94381,0,0.46126,0.35805,0.34669,0.28884,0.46515,0.35752,0.34683,0.27547,0.70241,1.54926,1.72336,1.16104,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,27373.1,0.47454,0.86862,0.58729,0.94533,0,0.44666,0.36363,0.34868,0.29135,0.47692,0.35805,0.34732,0.27692,0.70004,1.54834,1.72356,1.15981,0,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,27620.1,0.47466,0.87603,0.58893,0.94311,0,0.4737,0.3527,0.34825,0.29181,0.4746,0.35316,0.34878,0.27726,0.7011,1.55603,1.72567,1.16152,0,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,27867.4,0.47527,0.87478,0.59011,0.94538,0,0.50952,0.34033,0.34896,0.29181,0.54235,0.33418,0.34915,0.27716,0.70072,1.55772,1.71872,1.16109,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,28114.4,0.47227,0.86453,0.58234,0.94476,0,0.47546,0.35889,0.34946,0.29146,0.48249,0.3552,0.34931,0.27787,0.70551,1.55783,1.72219,1.16645,0,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,28360.7,0.47085,0.86534,0.57629,0.94347,0,0.47813,0.35755,0.34912,0.29051,0.47844,0.35979,0.34954,0.27802,0.70477,1.56612,1.7221,1.16857,0,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,28607.1,0.4717,0.8695,0.57471,0.94285,0,0.48849,0.35519,0.34931,0.291,0.49071,0.35455,0.34936,0.27822,0.70563,1.57411,1.73642,1.16644,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,28854.4,0.4718,0.856,0.56706,0.94273,0,0.48304,0.34995,0.34884,0.29044,0.48369,0.35008,0.34703,0.27612,0.70426,1.58889,1.74166,1.16478,0,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,29101.7,0.4735,0.86585,0.57006,0.94176,0,0.48579,0.35692,0.35142,0.29322,0.4879,0.35622,0.35049,0.27845,0.70291,1.58768,1.73517,1.16445,0,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,29349.1,0.46377,0.85607,0.55449,0.93948,0,0.48264,0.3518,0.35305,0.2939,0.48288,0.35171,0.35191,0.28002,0.70452,1.58987,1.74397,1.16655,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,29596.4,0.46612,0.85895,0.56058,0.93945,0,0.49862,0.35438,0.35149,0.29276,0.49995,0.35293,0.3507,0.27863,0.70565,1.58494,1.74577,1.16814,0,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,29843.2,0.46293,0.85046,0.5545,0.93782,0,0.52787,0.33958,0.35143,0.29215,0.52711,0.33872,0.3506,0.27901,0.70443,1.58124,1.74413,1.16673,0,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,30089.9,0.46424,0.85933,0.55879,0.93795,0,0.50994,0.34845,0.35372,0.29506,0.5112,0.34931,0.35316,0.28103,0.70241,1.57955,1.73985,1.16625,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,30336.6,0.4586,0.8434,0.54283,0.93472,0,0.50268,0.35243,0.35367,0.29411,0.50161,0.35123,0.3519,0.28025,0.70561,1.57638,1.73919,1.17084,0,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,30583.4,0.45781,0.84335,0.54489,0.93499,0,0.49794,0.34963,0.35131,0.29277,0.49797,0.3467,0.34973,0.27904,0.70575,1.58162,1.74209,1.17115,0,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,30831.1,0.45216,0.83195,0.52865,0.93279,0,0.5064,0.34789,0.34908,0.29064,0.50376,0.34943,0.34958,0.27731,0.70823,1.59295,1.75359,1.17488,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,31078,0.45657,0.83629,0.53425,0.93262,0,0.45982,0.35803,0.34667,0.28844,0.46043,0.35869,0.34703,0.27539,0.70785,1.58815,1.75424,1.1745,0,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,31324.4,0.45673,0.83641,0.53,0.93537,0,0.48806,0.35547,0.34861,0.28976,0.49174,0.352,0.34854,0.27657,0.70838,1.59286,1.75403,1.17512,0,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,31571.6,0.45691,0.8388,0.53543,0.93318,0,0.47556,0.36121,0.34745,0.29012,0.47489,0.36251,0.3477,0.27625,0.70893,1.5899,1.75601,1.17434,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,31819.2,0.45294,0.83233,0.52468,0.93061,0,0.47566,0.35841,0.34895,0.29106,0.47971,0.35728,0.34865,0.27727,0.70835,1.59606,1.7574,1.17356,0,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,32065.5,0.44998,0.82444,0.52092,0.93039,0,0.46961,0.35556,0.34809,0.29108,0.46874,0.35638,0.3482,0.27688,0.70723,1.59598,1.75729,1.1722,0,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,32312.4,0.4456,0.81231,0.50731,0.92697,0,0.48764,0.35106,0.34702,0.29077,0.52605,0.33766,0.34853,0.27694,0.70824,1.599,1.76138,1.17363,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,32558.6,0.4483,0.82229,0.51409,0.93025,0,0.51978,0.33845,0.34813,0.29197,0.5392,0.3367,0.34996,0.27789,0.70998,1.60668,1.76265,1.1762,0,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,32804.7,0.44415,0.81791,0.5061,0.92917,0,0.53831,0.33471,0.34906,0.29325,0.54125,0.33652,0.35123,0.27887,0.70878,1.61132,1.75956,1.17605,0,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,33050.8,0.44515,0.81188,0.50652,0.92806,0,0.56749,0.32795,0.34875,0.2925,0.5691,0.33031,0.35106,0.27835,0.70925,1.61505,1.76662,1.17696,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,33297.8,0.44198,0.81423,0.50204,0.92489,0,0.56508,0.32665,0.34861,0.29194,0.57496,0.32654,0.35089,0.27779,0.7087,1.61788,1.77172,1.17696,0,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,33544.4,0.43709,0.81136,0.49863,0.92753,0,0.5001,0.34148,0.35065,0.29327,0.50202,0.34327,0.35223,0.27877,0.70996,1.6148,1.77496,1.1781,0,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,33792.2,0.44304,0.81206,0.49616,0.92633,0,0.51616,0.33937,0.35003,0.29248,0.5185,0.34101,0.35135,0.27803,0.70989,1.61823,1.7742,1.17857,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,34040.4,0.43617,0.80268,0.48798,0.92287,0,0.55212,0.33363,0.3496,0.29194,0.55616,0.33402,0.35054,0.27805,0.71151,1.61829,1.77726,1.17998,0,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,34287.6,0.44011,0.80702,0.48562,0.92335,0,0.51299,0.33835,0.34896,0.29081,0.55557,0.33332,0.34955,0.27703,0.71226,1.62411,1.77831,1.18126,0,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,34534.3,0.43723,0.80433,0.49178,0.92353,0,0.5519,0.33652,0.34778,0.29055,0.56217,0.33617,0.3492,0.27675,0.71104,1.62165,1.77936,1.18027,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,34781.8,0.4352,0.79655,0.47629,0.92304,0,0.54299,0.33867,0.34795,0.28995,0.5429,0.34176,0.34911,0.27635,0.71208,1.62317,1.78438,1.18238,0,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,35025.4,0.39,0.71294,0.33497,0.90339,0,0.55132,0.3323,0.34714,0.28965,0.54108,0.33618,0.34783,0.27566,0.71221,1.6268,1.7864,1.18383,0,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,35266.8,0.3807,0.69336,0.30804,0.89871,0,0.52373,0.33948,0.34612,0.28851,0.52443,0.34175,0.3464,0.27432,0.7124,1.62888,1.79235,1.18422,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,35508.5,0.37711,0.68941,0.30322,0.89526,0,0.51465,0.34018,0.34577,0.28797,0.51689,0.34104,0.34601,0.27393,0.71345,1.63355,1.79963,1.18578,0,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,35750.9,0.3749,0.68493,0.29542,0.89341,0,0.52947,0.33364,0.34556,0.28787,0.53204,0.33412,0.34581,0.27359,0.71267,1.63617,1.80399,1.18618,0,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,35992.5,0.3746,0.68633,0.30019,0.89268,0,0.52436,0.3357,0.34493,0.28697,0.52715,0.33579,0.34517,0.27293,0.7131,1.64036,1.80739,1.18638,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,36234.6,0.37313,0.6809,0.29845,0.89526,0,0.52569,0.33587,0.34455,0.28647,0.53102,0.33581,0.34497,0.27225,0.71303,1.6474,1.80863,1.18634,0,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,36475.9,0.36565,0.66921,0.28405,0.88785,0,0.5249,0.33923,0.34496,0.28591,0.52796,0.33717,0.34434,0.27194,0.71418,1.65075,1.81132,1.18785,0,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,36717.9,0.36748,0.67672,0.28889,0.89012,0,0.51871,0.34115,0.3438,0.28494,0.5187,0.34075,0.34325,0.27091,0.71498,1.6551,1.81526,1.18918,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,36959.4,0.36505,0.67289,0.28598,0.88849,0,0.51117,0.34241,0.34317,0.28437,0.51588,0.33945,0.34275,0.27057,0.71496,1.66043,1.81728,1.19002,0,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,37201.1,0.36766,0.67835,0.29481,0.89277,0,0.53451,0.32927,0.34336,0.28463,0.5345,0.33011,0.34288,0.27104,0.71573,1.66175,1.82054,1.19122,0,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
