epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,6606.02,0.5763,1.11745,1.13381,1.01689,0,0.46013,0.35161,0.33536,0.27418,0.45727,0.35268,0.33498,0.25987,0.71216,1.49324,1.6441,1.12945,0,6.90618e-05,6.90618e-05,6.90618e-05
28,6847.75,0.57322,1.11714,1.12368,1.0138,0,0.48615,0.35149,0.33135,0.27124,0.48347,0.3521,0.33136,0.25921,0.71072,1.47229,1.66276,1.1341,0,6.81411e-05,6.81411e-05,6.81411e-05
29,7090.62,0.57741,1.1285,1.10718,1.01464,0,0.47525,0.35481,0.33775,0.27696,0.48762,0.35197,0.33936,0.26451,0.70907,1.44317,1.62522,1.12982,0,6.72204e-05,6.72204e-05,6.72204e-05
30,7332.48,0.56941,1.1026,1.08315,1.01293,0,0.47195,0.35039,0.33891,0.27555,0.47669,0.34698,0.33843,0.26237,0.70388,1.4428,1.63294,1.12092,0,6.62997e-05,6.62997e-05,6.62997e-05
31,7574.44,0.568,1.10495,1.07063,1.00649,0,0.43369,0.35499,0.32671,0.26648,0.45122,0.34874,0.32911,0.25487,0.70998,1.45982,1.66089,1.13276,0,6.5379e-05,6.5379e-05,6.5379e-05
32,7816.05,0.56288,1.08149,1.04835,1.00664,0,0.49521,0.34847,0.33925,0.27672,0.49437,0.34759,0.33936,0.26352,0.69895,1.42978,1.63319,1.12216,0,6.44583e-05,6.44583e-05,6.44583e-05
33,8057.2,0.55549,1.07772,1.03507,1.00144,0,0.49423,0.32338,0.33959,0.27747,0.50026,0.32011,0.33856,0.26469,0.70699,1.46864,1.65814,1.13444,0,6.35376e-05,6.35376e-05,6.35376e-05
34,8298.07,0.5624,1.08197,1.02836,1.0055,0,0.48023,0.35554,0.34316,0.27936,0.48217,0.35162,0.34209,0.26639,0.71731,1.49481,1.65595,1.14218,0,6.26169e-05,6.26169e-05,6.26169e-05
35,8539.05,0.55513,1.06389,1.00761,0.99891,0,0.47202,0.34451,0.34297,0.28075,0.48671,0.34125,0.34244,0.26597,0.70348,1.47002,1.63833,1.12803,0,6.16962e-05,6.16962e-05,6.16962e-05
36,8779.64,0.55392,1.06021,0.9964,0.99934,0,0.45686,0.34991,0.33432,0.27529,0.45606,0.35046,0.33698,0.26227,0.70974,1.47938,1.67891,1.13555,0,6.07755e-05,6.07755e-05,6.07755e-05
37,9020.43,0.54693,1.04266,0.96716,0.99423,0,0.46323,0.33985,0.33603,0.27664,0.46074,0.33864,0.33588,0.26369,0.70569,1.47943,1.65315,1.13367,0,5.98548e-05,5.98548e-05,5.98548e-05
38,9261.87,0.55118,1.05183,0.9649,0.99743,0,0.46203,0.35529,0.33605,0.27378,0.4609,0.35814,0.33811,0.26146,0.70907,1.46923,1.63832,1.12909,0,5.89341e-05,5.89341e-05,5.89341e-05
39,9504.57,0.54884,1.06059,0.96083,0.99649,0,0.45763,0.35143,0.33661,0.27542,0.4624,0.35126,0.33904,0.26198,0.70522,1.45018,1.65598,1.12921,0,5.80134e-05,5.80134e-05,5.80134e-05
40,9746.82,0.5415,1.04228,0.9441,0.99296,0,0.49616,0.33789,0.33951,0.27912,0.49269,0.34057,0.34007,0.26562,0.70292,1.45609,1.6585,1.12792,0,5.70927e-05,5.70927e-05,5.70927e-05
41,9990.17,0.54449,1.03917,0.93354,0.99194,0,0.47753,0.34999,0.34233,0.2794,0.47693,0.34897,0.34128,0.26564,0.71029,1.48099,1.69689,1.13969,0,5.6172e-05,5.6172e-05,5.6172e-05
42,10231.7,0.53897,1.02183,0.92196,0.98894,0,0.47161,0.37043,0.34643,0.28311,0.46574,0.36791,0.34491,0.26866,0.70872,1.48801,1.66776,1.13349,0,5.52513e-05,5.52513e-05,5.52513e-05
43,10472.2,0.53739,1.02742,0.90596,0.98717,0,0.46713,0.35824,0.34028,0.27772,0.4835,0.35177,0.33879,0.26366,0.70355,1.47862,1.66598,1.13443,0,5.43306e-05,5.43306e-05,5.43306e-05
44,10714.5,0.53222,1.00997,0.89084,0.98539,0,0.46102,0.37429,0.34943,0.28788,0.45793,0.37381,0.35021,0.27364,0.7036,1.4904,1.67656,1.13254,0,5.34099e-05,5.34099e-05,5.34099e-05
45,10955.2,0.53221,1.01542,0.88621,0.98415,0,0.50598,0.34152,0.34827,0.28554,0.50631,0.34506,0.34983,0.27212,0.70423,1.47202,1.63722,1.12945,0,5.24892e-05,5.24892e-05,5.24892e-05
46,11195.3,0.53267,1.01666,0.88374,0.98407,0,0.49986,0.33942,0.34367,0.28149,0.50209,0.33898,0.34422,0.26714,0.70646,1.48122,1.65066,1.13376,0,5.15685e-05,5.15685e-05,5.15685e-05
47,11435.3,0.53143,1.00471,0.86952,0.98421,0,0.50364,0.35002,0.35043,0.28584,0.50315,0.34875,0.35004,0.27176,0.70594,1.4924,1.66279,1.13403,0,5.06478e-05,5.06478e-05,5.06478e-05
