epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2074.03,0.76274,1.52536,2.35544,1.10792,0,0.54403,0.19262,0.1704,0.13807,0.54482,0.19324,0.17046,0.12995,0.80184,1.65726,2.47857,1.15267,0,4.51236e-05,4.51236e-05,4.51236e-05
28,2152.46,0.77659,1.52662,2.36794,1.11676,0,0.6112,0.17838,0.17204,0.1385,0.5993,0.17848,0.17151,0.13055,0.80872,1.6867,2.47682,1.15705,0,4.32822e-05,4.32822e-05,4.32822e-05
29,2231.06,0.76773,1.50968,2.3491,1.11114,0,0.5703,0.183,0.17272,0.14108,0.57082,0.18399,0.17411,0.13347,0.80669,1.65771,2.48831,1.15977,0,4.14408e-05,4.14408e-05,4.14408e-05
30,2309.52,0.76926,1.52555,2.34402,1.11053,0,0.58641,0.192,0.17409,0.14055,0.59566,0.19432,0.17463,0.1332,0.81029,1.66899,2.47737,1.16598,0,3.95994e-05,3.95994e-05,3.95994e-05
31,2385.96,0.76613,1.50738,2.32923,1.11204,0,0.59425,0.19091,0.17501,0.14209,0.59432,0.19191,0.17505,0.13387,0.80617,1.68194,2.45847,1.16076,0,3.7758e-05,3.7758e-05,3.7758e-05
32,2464.77,0.75819,1.49281,2.30312,1.10549,0,0.59567,0.18663,0.17673,0.14317,0.59908,0.18805,0.17752,0.13578,0.80992,1.67652,2.45198,1.15968,0,3.59166e-05,3.59166e-05,3.59166e-05
33,2542.06,0.74526,1.45284,2.27919,1.09735,0,0.60617,0.19126,0.17693,0.14371,0.61229,0.19098,0.17711,0.13574,0.80535,1.69454,2.45476,1.16596,0,3.40752e-05,3.40752e-05,3.40752e-05
34,2620.55,0.75102,1.47513,2.27291,1.10112,0,0.62865,0.18299,0.17933,0.14541,0.6327,0.18425,0.18033,0.13742,0.80493,1.67181,2.41699,1.15876,0,3.22338e-05,3.22338e-05,3.22338e-05
35,2697.51,0.75286,1.49744,2.26993,1.0959,0,0.56017,0.2048,0.18026,0.14599,0.56135,0.20517,0.17991,0.13725,0.81203,1.68372,2.44092,1.17005,0,3.03924e-05,3.03924e-05,3.03924e-05
36,2778.33,0.74703,1.45751,2.25433,1.09993,0,0.59605,0.19839,0.18321,0.14833,0.59717,0.20007,0.18374,0.14048,0.80338,1.65644,2.41016,1.15504,0,2.8551e-05,2.8551e-05,2.8551e-05
37,2853.66,0.73985,1.45738,2.24298,1.09069,0,0.59911,0.20085,0.18264,0.14781,0.60129,0.20068,0.18349,0.13983,0.80111,1.66162,2.41131,1.15358,0,2.67096e-05,2.67096e-05,2.67096e-05
38,2932.48,0.75061,1.47891,2.26078,1.09569,0,0.58995,0.20287,0.18409,0.14884,0.59509,0.20392,0.18448,0.1412,0.80528,1.653,2.40442,1.15746,0,2.48682e-05,2.48682e-05,2.48682e-05
39,3010.07,0.75565,1.47707,2.24089,1.10271,0,0.60708,0.20009,0.18381,0.149,0.60972,0.2001,0.18425,0.14087,0.80048,1.65927,2.38596,1.15084,0,2.30268e-05,2.30268e-05,2.30268e-05
40,3087.57,0.74076,1.45504,2.21604,1.09351,0,0.58332,0.20121,0.18532,0.15071,0.58427,0.20207,0.1858,0.14245,0.80589,1.66776,2.3973,1.15812,0,2.11854e-05,2.11854e-05,2.11854e-05
41,3154.42,0.71102,1.46282,2.34249,1.0984,0,0.5677,0.20795,0.17742,0.14156,0.56941,0.20738,0.17879,0.13352,0.79078,1.69167,2.41596,1.14172,0,1.9344e-05,1.9344e-05,1.9344e-05
42,3219.1,0.69374,1.39858,2.23825,1.08766,0,0.56709,0.20213,0.17991,0.14543,0.56786,0.2037,0.18117,0.13691,0.78894,1.69049,2.39988,1.13993,0,1.75026e-05,1.75026e-05,1.75026e-05
43,3282.1,0.68411,1.38114,2.18897,1.08299,0,0.57272,0.19638,0.18367,0.14875,0.56312,0.20094,0.18418,0.14033,0.78673,1.67849,2.38114,1.13844,0,1.56612e-05,1.56612e-05,1.56612e-05
44,3345.37,0.67687,1.36542,2.18359,1.07189,0,0.53744,0.20859,0.18356,0.14864,0.53911,0.20915,0.18446,0.13994,0.79014,1.68658,2.37557,1.13966,0,1.38198e-05,1.38198e-05,1.38198e-05
45,3409.88,0.67293,1.35929,2.1554,1.07936,0,0.54587,0.19907,0.1855,0.1499,0.54551,0.20171,0.18667,0.14211,0.78947,1.67949,2.36569,1.13943,0,1.19784e-05,1.19784e-05,1.19784e-05
46,3472.83,0.67604,1.34537,2.14356,1.07176,0,0.54542,0.19901,0.18551,0.15067,0.54518,0.20164,0.18653,0.14204,0.78661,1.68329,2.36897,1.13748,0,1.0137e-05,1.0137e-05,1.0137e-05
47,3535.73,0.67596,1.35239,2.14677,1.07305,0,0.55391,0.2036,0.18625,0.14985,0.55408,0.20465,0.18596,0.14124,0.79068,1.69002,2.36559,1.14065,0,8.2956e-06,8.2956e-06,8.2956e-06
48,3600.28,0.67375,1.33877,2.14263,1.07315,0,0.56212,0.19673,0.18826,0.15224,0.56241,0.19862,0.189,0.14376,0.78329,1.67594,2.35439,1.13584,0,6.4542e-06,6.4542e-06,6.4542e-06
49,3665.36,0.66907,1.3367,2.14839,1.07659,0,0.54651,0.2048,0.18838,0.15275,0.54745,0.20356,0.18893,0.14399,0.78399,1.67909,2.3484,1.13651,0,4.6128e-06,4.6128e-06,4.6128e-06
50,3729.99,0.66797,1.33367,2.12263,1.0689,0,0.5746,0.19313,0.18685,0.15144,0.57555,0.195,0.18783,0.14277,0.78578,1.68551,2.35417,1.13826,0,2.7714e-06,2.7714e-06,2.7714e-06
