epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,1543.77,0.77568,1.50805,2.48408,1.12659,0,0.56708,0.15405,0.15272,0.12292,0.56738,0.15293,0.15128,0.11816,0.86143,1.73009,2.73003,1.20697,0,4.51236e-05,4.51236e-05,4.51236e-05
28,1601.19,0.76861,1.5127,2.43177,1.12162,0,0.58302,0.15227,0.15267,0.12216,0.58562,0.15215,0.15047,0.11702,0.85178,1.71625,2.69575,1.20627,0,4.32822e-05,4.32822e-05,4.32822e-05
29,1658.51,0.7702,1.50011,2.44346,1.12017,0,0.55245,0.16418,0.15668,0.1256,0.55459,0.15984,0.15427,0.11984,0.861,1.72832,2.6822,1.20941,0,4.14408e-05,4.14408e-05,4.14408e-05
30,1716.02,0.76964,1.52259,2.4497,1.12184,0,0.56777,0.16172,0.16039,0.12792,0.56484,0.16278,0.15745,0.12234,0.85428,1.7355,2.66442,1.20553,0,3.95994e-05,3.95994e-05,3.95994e-05
31,1773.57,0.75909,1.48241,2.39041,1.11278,0,0.56714,0.16304,0.15943,0.1273,0.56617,0.16223,0.1573,0.12182,0.85474,1.71219,2.6753,1.20651,0,3.7758e-05,3.7758e-05,3.7758e-05
32,1830.76,0.74932,1.46078,2.38311,1.10448,0,0.51927,0.17503,0.1647,0.13158,0.51666,0.1731,0.16128,0.1266,0.84806,1.71352,2.63749,1.20205,0,3.59166e-05,3.59166e-05,3.59166e-05
33,1887.93,0.74046,1.43026,2.36028,1.10357,0,0.51828,0.16918,0.16246,0.13124,0.51903,0.16868,0.16112,0.12556,0.84455,1.71798,2.64628,1.20193,0,3.40752e-05,3.40752e-05,3.40752e-05
34,1946.11,0.76378,1.48477,2.3963,1.11532,0,0.52241,0.18018,0.16722,0.13366,0.55005,0.17052,0.16312,0.1279,0.84219,1.71552,2.62664,1.20051,0,3.22338e-05,3.22338e-05,3.22338e-05
35,2002.74,0.7434,1.44852,2.34285,1.11023,0,0.50143,0.19276,0.16866,0.13481,0.49629,0.18904,0.16623,0.12925,0.84122,1.70324,2.60606,1.20219,0,3.03924e-05,3.03924e-05,3.03924e-05
36,2060.57,0.74418,1.44793,2.32548,1.10216,0,0.51451,0.18454,0.16903,0.13567,0.50735,0.18088,0.16538,0.12948,0.84871,1.72312,2.62959,1.21063,0,2.8551e-05,2.8551e-05,2.8551e-05
37,2118.48,0.74642,1.44302,2.3381,1.10376,0,0.55556,0.17539,0.16972,0.13644,0.55876,0.17388,0.16771,0.13004,0.84254,1.71539,2.60645,1.19704,0,2.67096e-05,2.67096e-05,2.67096e-05
38,2175.54,0.74354,1.46303,2.33412,1.1054,0,0.55735,0.17059,0.16899,0.13539,0.55608,0.1708,0.16659,0.12963,0.84567,1.70056,2.60718,1.2045,0,2.48682e-05,2.48682e-05,2.48682e-05
